ID;Neighbourhood;City;Latitude;Longitude;Zipcode;PropertyType;RoomType;BedType;Beds;Bedrooms;Bathrooms;Accommodates;Amenities;Price;SecurityDeposit;CleaningFee;CancellationPolicy;ReviewScoresRating;Market;Internet;TV;Kitchen;Airconditioning;Heating
9470166;Centro;Madrid;40.40831556101927;-3.705006385704201;28012;Apartment;Entire home/apt;Real Bed;2.0;1.0;1.0;4;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer;42.5;212.5;12.75;strict;81;Madrid;True;True;True;True;True
17444981;Centro;Madrid;40.413722014584295;-3.706823118653672;28012;Apartment;Entire home/apt;Real Bed;2.0;1.0;1.5;4;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;65.45;0.0;21.25;moderate;89;Madrid;True;True;True;True;True
3284565;Centro;Madrid;40.41126337271805;-3.6973054373712886;28012;Apartment;Entire home/apt;Real Bed;2.0;1.0;1.0;2;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Essentials,Shampoo;42.5;170.0;21.25;strict;93;Madrid;True;True;True;True;True
499911;Centro;Madrid;40.41255625665078;-3.701155364799422;28012;Apartment;Entire home/apt;Real Bed;4.0;2.0;1.0;5;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit;80.75;170.0;51.0;strict;97;Madrid;True;True;True;True;True
1346747;Centro;Madrid;40.40790775263045;-3.705095395441632;28005;Apartment;Entire home/apt;Real Bed;2.0;1.0;1.0;4;Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;58.65;102.0;21.25;moderate;91;Madrid;True;False;True;True;True
3097553;Centro;Madrid;40.408983157395134;-3.698251543680056;28012;Apartment;Entire home/apt;Real Bed;1.0;1.0;1.0;2;Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Washer,First aid kit,Essentials;59.5;127.5;0.0;moderate;100;Madrid;True;False;True;True;True
13440784;Centro;Madrid;40.40835752461163;-3.704043265135827;28005;Apartment;Private room;Real Bed;1.0;1.0;1.5;2;Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Pets live on this property,Dog(s),Elevator in building,Heating,Washer,Essentials,Shampoo,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;25.5;0.0;0.0;moderate;80;Madrid;True;False;True;False;True
7818234;Centro;Madrid;40.411622134427205;-3.703281054404274;28012;Apartment;Entire home/apt;Real Bed;2.0;1.0;1.0;4;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Self Check-In,Lockbox;48.45;0.0;17.0;moderate;98;Madrid;True;True;True;True;True
1386096;Centro;Madrid;40.407338871766925;-3.7070192202047374;28012;Apartment;Entire home/apt;Real Bed;1.0;1.0;1.0;2;Cable TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Heating,Washer,First aid kit,Essentials,Shampoo;50.15;85.0;0.0;moderate;95;Madrid;True;True;True;True;True
1942585;Centro;Madrid;40.4090849589356;-3.7047444736040687;28012;Apartment;Entire home/apt;Real Bed;14.0;3.0;2.0;14;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,First aid kit,Fire extinguisher,Essentials;102.0;255.0;51.0;moderate;92;Madrid;True;True;True;False;True
16311700;Centro;Madrid;40.41196098544589;-3.706947682659962;28012;Apartment;Private room;Real Bed;1.0;1.0;1.0;2;TV,Wireless Internet,Kitchen,Smoking allowed,Breakfast,Heating,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;31.45;0.0;17.0;strict;96;Madrid;True;True;True;False;True
5399733;Centro;Madrid;40.410074240590106;-3.7106236892189832;28005;Apartment;Entire home/apt;Real Bed;1.0;1.0;1.0;2;Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_50;75.65;85.0;21.25;strict;98;Madrid;True;False;True;True;True
1666184;Centro;Madrid;40.41179162145978;-3.709707931327856;28005;Apartment;Entire home/apt;Real Bed;3.0;2.0;1.0;4;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron;59.5;0.0;0.0;flexible;88;Madrid;True;True;True;True;True
7796518;Centro;Madrid;40.4215557414176;-3.709847980154691;28013;Apartment;Entire home/apt;Real Bed;2.0;2.0;2.0;5;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron;85.0;127.5;51.0;strict;95;Madrid;True;True;True;True;True
12809312;Centro;Madrid;40.41276583905967;-3.7075909638953415;28012;Apartment;Private room;Real Bed;1.0;1.0;1.5;2;Internet,Wireless Internet,Wheelchair accessible,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;44.2;127.5;6.8;flexible;90;Madrid;True;False;True;False;True
4196358;Centro;Madrid;40.42099216161933;-3.710401967861499;28013;Apartment;Entire home/apt;Real Bed;2.0;1.0;1.0;4;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;68.0;0.0;17.0;strict;88;Madrid;True;True;True;True;True
